"6Z28dALKtAgZ7AZRfjMQjY","Mentiras | CROSSOVER #3","Big One, Ulises Bueno, Rusherking","19","0","4","UY","2024-01-24","81","False","168000","Mentiras | CROSSOVER #3","2023-07-25","0.736","0.512","11","-10.957","1","0.0771","0.00705","0.0","0.197","0.802","149.987","4"
"4jn3R3KF5hx2fCiXlj89yE","FLECHAZO EN EL CENTRO","YSY A, Bhavi, Milo j","20","0","1","UY","2024-01-24","82","False","185241","TU DUO FAVORITO","2023-09-06","0.767","0.607","5","-6.875","0","0.0516","0.0927","0.0","0.112","0.38","104.98","4"
"4sl3IoHskl2Kbdy27gZ4yn","Una Foto","Mesita","21","3","-5","UY","2024-01-24","81","False","122500","Una Foto","2023-08-15","0.811","0.649","6","-5.089","1","0.111","0.343","0.0","0.121","0.756","96.076","4"
"6PMapQ7YSxkhAgNOvvoiWs","Bad Boy","Sayian Jimmy, Nysix Music","22","0","2","UY","2024-01-24","76","True","159101","Controlando el Ki","2023-11-10","0.577","0.513","10","-7.653","0","0.0541","0.0613","0.0","0.338","0.502","177.939","4"
"6hv8hai0yo19JF2c6pppj6","GTA.mp3","Emilia","23","-2","4","UY","2024-01-24","77","False","151653",".mp3","2023-11-03","0.882","0.783","7","-4.023","0","0.0985","0.0605","4.74e-05","0.141","0.555","127.035","4"
"7pNzulQGBP6v2g4A2KnAJ6","PRINCESITA DE ...","Jere Klein, Nickoog Clk, Lucky Brown, El BAI","24","6","21","UY","2024-01-24","85","True","162397","ÉNFASIS","2023-12-01","0.877","0.647","9","-4.63","0","0.15","0.0208","1.14e-06","0.048","0.828","97.973","4"
"35ttE4t8lQZA2vuCYDg4G7","M.A.I","Milo j","25","7","25","UY","2024-01-24","73","False","184027","111","2023-11-30","0.364","0.572","10","-5.861","0","0.0341","0.758","0.0","0.229","0.514","80.363","4"
"6jRZ33ifS5VOTMwmPxhPhN","Ya No Vuelvas (Versión Cuarteto)","Luck Ra, La K'onga, Ke Personajes","26","-3","7","UY","2024-01-24","82","False","204000","Ya No Vuelvas (Versión Cuarteto)","2022-12-01","0.736","0.9","1","-4.575","1","0.0825","0.224","0.0","0.375","0.562","149.947","4"
"1lSayCmr2lS6ndxELoabIG","Lágrimas | CROSSOVER #4","Big One, TINI, BM","27","0","8","UY","2024-01-24","79","False","167419","Lágrimas | CROSSOVER #4","2023-10-10","0.771","0.656","5","-4.078","0","0.065","0.0863","0.0","0.115","0.609","93.069","4"
"7xX7bER73YZSE4m76OpMXV","Salgo a Bailar","FMK, Emilia","28","-2","-8","UY","2024-01-24","78","False","157830","Salgo a Bailar","2023-07-14","0.73","0.656","10","-2.628","1","0.0454","0.012","0.0","0.0872","0.694","137.829","3"
"2xbH0CuDbid800YW5nMPzR","SINVERGÜENZA - con Angela Torres","Emanero, Karina, j mena, Angela Torres","29","-1","0","UY","2024-01-24","79","False","217490","SINVERGÜENZA - con Angela Torres","2023-12-05","0.729","0.807","0","-4.468","1","0.0307","0.111","0.0","0.145","0.654","94.021","4"
